File Name,Start Frame,End Frame
No_Weight_0001.mat,4969,7457
No_Weight_0002.mat,4370,6817
No_Weight_0003.mat,3694,6115
No_Weight_0004.mat,4340,6819
No_Weight_0005.mat,4055,6537
Weight_Left_0001.mat,3842,6343
Weight_Left_0002.mat,3780,6278
Weight_Left_0003.mat,5216,7719
Weight_Left_0004.mat,3865,5708
Weight_Left_0005.mat,4975,7482
Weight_Right_0001.mat,4308,6739
Weight_Right_0002.mat,3582,5970
Weight_Right_0003.mat,3454,5195
Weight_Right_0004.mat,3852,5725
Weight_Right_0005.mat,4213,6647
